Country,2010,2011,2012,2013,2014,2015,2016,2017
Afghanistan,8.4522,12.225999999999999,10.7421,10.0004,9.7892,10.1074,12.2579,13.0147
Albania,4.5947,5.2359,4.9061,5.06,5.7122,5.9477,6.2729,6.3792
Algeria,117.8141,119.8069,128.11,132.4346,143.1771,150.5925,150.378,150.5514
Andorra,0.51662,0.49098,0.48731,0.47631999999999997,0.46166,0.47723999999999994,0.51151,0.52018
Angola,28.8645,30.1421,33.1858,32.3731,34.4576,34.7611,35.351,35.3899
Anguilla,0.15022,0.1429,0.1429,0.13557,0.1429,0.14918,0.15207,0.15205
Antigua and Barbuda,0.52395,0.5129600000000001,0.52395,0.52395,0.53128,0.5546300000000001,0.5654,0.5653
Argentina,186.6865,190.2479,191.0447,188.4281,202.6715,206.368,207.0641,204.3234
Armenia,4.2602,4.9689,5.7483,5.5494,5.5814,5.7917,5.9608,5.6564
Aruba,2.5062,2.4988,1.3484,0.8610399999999999,0.87203,0.9103600000000001,0.9280299999999999,0.9278700000000001
Australia,406.7528,404.2466,407.1461,398.1638,393.4642,402.9955,413.3699,413.0927
Austria,72.3831,70.1157,67.6614,68.0012,64.2533,66.704,67.4021,69.9418
Azerbaijan,30.6329,33.3966,35.4969,35.58,37.4144,40.2414,39.6883,38.2097
Bahamas,1.6525,1.865,1.9676,2.7993,2.4146,2.5165,2.5653,2.5644
Bahrain,29.0748,28.4388,26.4482,31.0839,31.089000000000002,32.8469,34.2651,34.4557
Bangladesh,58.2818,61.5975,65.6025,67.7065,71.1457,83.5008,85.2536,88.0575
Barbados,1.4526,1.5042,1.4499,1.4295,1.2535,1.3009,1.3247,1.3227
Belarus,63.8624,62.7727,63.6748,64.4237,63.78,58.9658,60.5092,61.3718
Belgium,113.58200000000001,104.1586,101.395,101.9704,96.391,100.2295,100.2437,100.116
Belize,0.53861,0.6009,0.47631999999999997,0.5129600000000001,0.49463999999999997,0.5222600000000001,0.54743,0.56083
Benin,4.9389,5.1213,5.3055,5.6526,6.1582,6.3503,6.7479,7.5021
Bermuda,0.60822,0.44333999999999996,0.47631999999999997,0.45799999999999996,0.57525,0.60053,0.61219,0.6120800000000001
Bhutan,0.46416,0.66746,0.7538100000000001,0.85314,0.9196,0.9879600000000001,1.1146,1.1664
Bolivia,14.9414,15.8512,18.4857,18.5716,20.0298,20.0019,20.5623,20.8852
"Bonaire, Saint Eustatius and Saba",0.20274,0.25864000000000004,0.31144,0.32243,0.32243,0.3366,0.34314,0.34308
Bosnia and Herzegovina,21.1456,23.7613,22.1362,21.801,22.1176,24.7642,26.0017,26.6469
Botswana,4.6536,4.1384,4.1856,5.1848,6.9868,7.103,7.0984,7.875
Brazil,411.2402,430.1949,460.0631,493.5935,519.5263,512.0819,473.7414,476.0668
British Virgin Islands,0.17221,0.17587,0.17587,0.17587,0.17954,0.18742999999999999,0.19107000000000002,0.19103
Brunei Darussalam,8.0608,9.5447,9.4934,7.6284,8.9255,10.3553,9.9647,10.2269
Bulgaria,47.7928,53.1165,48.2695,42.586000000000006,45.1425,48.1327,45.2874,49.0712
Burkina Faso,1.8939,2.1412,2.5503,2.9924,2.8021,2.7813,2.9698,3.335
Burundi,0.21251,0.23756,0.2736,0.27823000000000003,0.43153,0.47666000000000003,0.50815,0.5291399999999999
Cambodia,4.9169,5.0943,5.3335,5.4758,6.5164,6.9765,7.482,7.9383
Cameroon,6.662000000000001,5.6306,5.975,6.615,6.854,7.2174,7.5861,7.6872
Canada,555.4597,560.7759,563.6752,568.8924,568.0084,565.5767,558.189,572.7826
Cape Verde,0.55693,0.61555,0.50563,0.4983,0.49098,0.49721000000000004,0.5322,0.5999800000000001
Cayman Islands,,,,,,,,
