Country Name,Country Code,Indicator Name,Indicator Code,2011,2012,2013,2014,2015,2016,2017
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.78690647,53.41705765,54.15513076,52.66497119,60.47402958,58.82704888,58.72485937
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,23.58743462,22.16212025,21.44555596,19.96050832,20.08520702,19.10173613,19.01185201
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,21.90983004,20.20362489,19.22537578,18.60919623,18.99410846,17.64108568,17.63343122
Early-demographic dividend,EAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,64.72537279,60.28871771,61.31139473,59.93125955,60.55164187,59.80236317,60.29343356
East Asia & Pacific,EAS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.41306757,48.05418044,48.82535778,44.84922377,44.21962773,39.52218482,39.75270612
East Asia & Pacific (excluding high income),EAP,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,56.3798261,51.6371945,52.43830165,48.11995684,47.37358302,42.30112989,42.54237488
East Asia & Pacific (IDA & IBRD countries),TEA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,56.60205657,51.830409,52.63208646,48.28277817,47.49945072,42.43384051,42.67465741
Euro area,EMU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,15.36638622,14.15750109,13.78814212,13.22454609,13.43055357,12.46607237,12.52451357
Europe & Central Asia,ECS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,20.57923009,19.502547500000002,19.08026532,18.38937222,18.99549564,18.0019706,18.07278468
Europe & Central Asia (excluding high income),ECA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.38439707,25.52542779,25.10155085,24.27329475,25.40027776,24.30759664,24.419995
Europe & Central Asia (IDA & IBRD countries),TEC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,26.34055038,25.3660767,24.86375836,24.0434078,25.11448774,23.968687699999997,24.06589793
European Union,EUU,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.15636939,14.86924391,14.39668818,13.81144481,13.996079199999999,13.055690199999999,13.07950037
Fragile and conflict affected situations,FCS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,42.25864970000001,42.37087937,41.68271109,40.03132891,43.97799058,42.1925579,42.11942457
Heavily indebted poor countries (HIPC),HPC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,37.85553616,38.45151716,37.17681509,36.37422925,41.30699013,40.40967070000001,40.61654103
High income,HIC,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,16.96219317,16.06912009,15.85506645,14.95462668,15.75445763,14.47388651,14.61564616
IBRD only,IBD,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,60.06001467,55.22091501,56.55892184,53.84736945,53.83727796,51.55565231,51.98745904
IDA & IBRD total,IBT,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,57.13111088,53.41768468,53.89054404,51.65397512,52.97738035,50.73706062,51.10595711
IDA blend,IDB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,52.89787532,52.48003965,49.42791353,48.2413044,58.91601294,56.61176308,56.71560401
IDA only,IDX,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,45.278082899999994,45.40349655,43.70833333,43.28637509,46.14209136,44.16623958,44.43554223
IDA total,IDA,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3,47.79651051,47.74375371,45.60109697,44.927151200000004,50.37418226,48.29087704,48.50592022
