Country,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,15.325,17.89,20.293,20.17,20.616,20.057,19.428,20.235,19.585
Albania,11.938,12.896,12.323,12.804,13.219,11.364,11.868,13.055,15.202
Algeria,161.207,200.251,209.016,209.755,213.81,165.979,160.13,167.555,180.441
Angola,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.124,107.316
Antigua and Barbuda,1.152,1.142,1.211,1.193,1.276,1.359,1.465,1.516,1.626
Argentina,424.728,527.644,579.666,611.471,563.614,642.464,556.774,642.928,518.092
Armenia,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.537,12.411
Aruba,2.391,2.55,2.535,2.58,2.649,2.691,2.647,2.7,2.833
Australia,1251.721,1513.99,1569.107,1518.336,1457.48,1235.061,1267.845,1386.357,1418.275
Austria,392.623,431.515,409.652,430.203,442.698,381.998,394.215,417.672,457.637
Azerbaijan,52.913,65.99,69.687,74.16,75.24,50.844,37.83,41.256,45.418
"Bahamas, The",10.096,10.07,10.721,10.628,10.957,11.792,11.839,12.162,12.803
Bahrain,25.713,28.777,30.749,32.539,33.388,31.126,32.25,35.433,38.291
Bangladesh,122.039,131.079,141.705,161.297,184.013,208.322,235.623,262.077,287.63
Barbados,4.53,4.658,4.61,4.677,4.696,4.725,4.841,4.99,5.145
Belarus,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,59.643
Belgium,484.45,527.492,498.161,521.09,531.651,456.067,469.931,495.757,533.153
Belize,1.397,1.487,1.564,1.608,1.693,1.763,1.807,1.863,1.925
Benin,6.983,7.821,8.157,9.16,9.723,8.295,8.576,9.265,10.456
Bhutan,1.433,1.737,1.814,1.849,1.83,2.028,2.117,2.405,2.627
Bolivia,18.807,22.732,26.674,30.018,32.853,32.907,34.091,38.058,41.41
Bosnia and Herzegovina,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.169,19.881
Botswana,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383,18.998
Brazil,2207.62,2613.992,2464.398,2471.563,2456.168,1800.025,1795.601,2053.208,1868.184
Brunei Darussalam,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128,14.082
Bulgaria,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.335,64.963
Burkina Faso,8.963,10.734,11.172,11.955,12.398,10.425,10.893,12.349,14.18
Burundi,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396,3.436
Cabo Verde,1.664,1.865,1.752,1.851,1.861,1.597,1.664,1.776,1.97
Cambodia,11.232,12.818,14.057,15.228,16.702,18.083,20.043,22.225,24.523
Cameroon,26.193,29.364,29.121,32.358,34.999,30.932,32.635,34.993,38.521
Canada,1617.266,1792.833,1828.686,1847.207,1803.529,1556.127,1530.273,1650.187,1711.387
Central African Republic,1.986,2.196,2.171,1.519,1.706,1.585,1.756,1.937,2.185
Chad,10.702,12.181,12.411,12.994,14.003,10.952,10.095,9.892,10.919
Chile,218.308,252.096,267.021,278.345,260.479,243.908,250.265,277.668,298.172
"China, People's Republic of",6066.351,7522.103,8570.348,9635.025,10534.526,11226.186,11221.836,12062.281,13407.398
Colombia,286.039,334.476,370.345,381.844,381.241,293.493,282.72,311.796,333.114
Comoros,0.544,0.611,0.596,0.658,0.686,0.582,0.612,0.649,0.742
"Congo, Dem. Rep. of the",20.641,24.575,27.566,32.676,35.918,38.402,39.324,41.447,42.644
"Congo, Republic of ",12.304,14.811,13.664,14.026,14.099,8.554,7.787,8.992,11.188
Costa Rica,37.634,42.717,46.984,50.326,51.181,55.41,57.828,58.654,59.006
Croatia,59.866,62.399,56.549,58.158,57.683,49.519,51.623,55.201,60.688
Cyprus,25.608,27.454,25.055,24.094,23.401,19.691,20.461,22.186,24.492
Czech Republic,207.478,227.948,207.376,209.402,207.818,186.83,195.09,215.914,242.052
C»te d'Ivoire,24.885,25.67,26.791,31.264,35.316,33.131,35.297,38.13,43.032
Denmark,321.995,344.003,327.149,343.584,352.994,302.673,311.988,329.866,350.874
