Country,2010_CO2_Emissions,2011_CO2_Emissions,2012_CO2_Emissions,2013_CO2_Emissions,2014_CO2_Emissions,2015_CO2_Emissions,2016_CO2_Emissions,2017_CO2_Emissions,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP
Afghanistan,8.4522,12.225999999999999,10.7421,10.0004,9.7892,10.1074,12.2579,13.0147,15.325,17.89,20.293,20.17,20.616,20.057,19.428,20.235
Albania,4.5947,5.2359,4.9061,5.06,5.7122,5.9477,6.2729,6.3792,11.938,12.896,12.323,12.804,13.219,11.364,11.868,13.055
Algeria,117.8141,119.8069,128.11,132.4346,143.1771,150.5925,150.378,150.5514,161.207,200.251,209.016,209.755,213.81,165.979,160.13,167.555
Angola,28.8645,30.1421,33.1858,32.3731,34.4576,34.7611,35.351,35.3899,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.124
Antigua and Barbuda,0.52395,0.5129600000000001,0.52395,0.52395,0.53128,0.5546300000000001,0.5654,0.5653,1.152,1.142,1.211,1.193,1.276,1.359,1.465,1.516
Argentina,186.6865,190.2479,191.0447,188.4281,202.6715,206.368,207.0641,204.3234,424.728,527.644,579.666,611.471,563.614,642.464,556.774,642.928
Armenia,4.2602,4.9689,5.7483,5.5494,5.5814,5.7917,5.9608,5.6564,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.537
Aruba,2.5062,2.4988,1.3484,0.8610399999999999,0.87203,0.9103600000000001,0.9280299999999999,0.9278700000000001,2.391,2.55,2.535,2.58,2.649,2.691,2.647,2.7
Australia,406.7528,404.2466,407.1461,398.1638,393.4642,402.9955,413.3699,413.0927,1251.721,1513.99,1569.107,1518.336,1457.48,1235.061,1267.845,1386.357
Austria,72.3831,70.1157,67.6614,68.0012,64.2533,66.704,67.4021,69.9418,392.623,431.515,409.652,430.203,442.698,381.998,394.215,417.672
Azerbaijan,30.6329,33.3966,35.4969,35.58,37.4144,40.2414,39.6883,38.2097,52.913,65.99,69.687,74.16,75.24,50.844,37.83,41.256
Bahrain,29.0748,28.4388,26.4482,31.0839,31.089000000000002,32.8469,34.2651,34.4557,25.713,28.777,30.749,32.539,33.388,31.126,32.25,35.433
Bangladesh,58.2818,61.5975,65.6025,67.7065,71.1457,83.5008,85.2536,88.0575,122.039,131.079,141.705,161.297,184.013,208.322,235.623,262.077
Barbados,1.4526,1.5042,1.4499,1.4295,1.2535,1.3009,1.3247,1.3227,4.53,4.658,4.61,4.677,4.696,4.725,4.841,4.99
Belarus,63.8624,62.7727,63.6748,64.4237,63.78,58.9658,60.5092,61.3718,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723
Belgium,113.58200000000001,104.1586,101.395,101.9704,96.391,100.2295,100.2437,100.116,484.45,527.492,498.161,521.09,531.651,456.067,469.931,495.757
Belize,0.53861,0.6009,0.47631999999999997,0.5129600000000001,0.49463999999999997,0.5222600000000001,0.54743,0.56083,1.397,1.487,1.564,1.608,1.693,1.763,1.807,1.863
Benin,4.9389,5.1213,5.3055,5.6526,6.1582,6.3503,6.7479,7.5021,6.983,7.821,8.157,9.16,9.723,8.295,8.576,9.265
Bhutan,0.46416,0.66746,0.7538100000000001,0.85314,0.9196,0.9879600000000001,1.1146,1.1664,1.433,1.737,1.814,1.849,1.83,2.028,2.117,2.405
Bolivia,14.9414,15.8512,18.4857,18.5716,20.0298,20.0019,20.5623,20.8852,18.807,22.732,26.674,30.018,32.853,32.907,34.091,38.058
Bosnia and Herzegovina,21.1456,23.7613,22.1362,21.801,22.1176,24.7642,26.0017,26.6469,17.164,18.629,17.207,18.155,18.522,16.21,16.91,18.169
Botswana,4.6536,4.1384,4.1856,5.1848,6.9868,7.103,7.0984,7.875,12.794,15.393,16.11,14.915,16.259,14.445,15.658,17.383
Brazil,411.2402,430.1949,460.0631,493.5935,519.5263,512.0819,473.7414,476.0668,2207.62,2613.992,2464.398,2471.563,2456.168,1800.025,1795.601,2053.208
Brunei Darussalam,8.0608,9.5447,9.4934,7.6284,8.9255,10.3553,9.9647,10.2269,13.707,18.525,19.047,18.092,17.098,12.931,11.399,12.128
Bulgaria,47.7928,53.1165,48.2695,42.586000000000006,45.1425,48.1327,45.2874,49.0712,50.611,57.42,53.901,55.557,56.815,50.201,53.236,58.335
Burkina Faso,1.8939,2.1412,2.5503,2.9924,2.8021,2.7813,2.9698,3.335,8.963,10.734,11.172,11.955,12.398,10.425,10.893,12.349
Burundi,0.21251,0.23756,0.2736,0.27823000000000003,0.43153,0.47666000000000003,0.50815,0.5291399999999999,2.032,2.236,2.333,2.575,2.934,3.005,3.138,3.396
