Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Arab World,ARB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,5.70E+11,6.60E+11,7.15E+11,7.10E+11,7.92E+11,8.64E+11,8.89E+11,8.09E+11,7.53E+11,7.64E+11,7.46E+11,7.81E+11,7.77E+11,8.21E+11,8.40E+11,9.51E+11,9.65E+11,1.01E+12,1.05E+12,1.08E+12,1.11E+12,1.16E+12,1.21E+12,1.27E+12,1.30E+12,1.37E+12,1.39E+12,1.40E+12,1.47E+12,1.61E+12,1.70E+12,1.81E+12,1.89E+12,2.01E+12,2.01E+12,2.11E+12,2.19E+12,2.33E+12,2.41E+12,2.47E+12,2.55E+12,2.63E+12,2.65E+12,
Caribbean small states,CSS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,22277626439,23217960808,24608088760,25923990140,27123587752,27685461029,29810288844,29616480603,28732471992,28380467371,28776979024,29998426027,31830813608,33442239227,33225706982,33566784593,34043535832,33145109674,33387226793,33323934804,33720316453,34300093223,35016022299,36474877410,36835608996,37312393055,37161313237,38208806229,39297738418,40495020615,41859262566,43138797658,44432722386,46254473173,48021739633,48998392257,50790814677,53714045845,55845874048,57923990781,61870339500,63860121162,64654432029,62358855393,63268926037,63967363578,64810148383,65382070242,65812998552,66504883587,65266275279,65391548682,
Central Europe and the Baltics,CEB,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.92E+11,7.15E+11,7.02E+11,7.13E+11,7.43E+11,7.86E+11,8.20E+11,8.45E+11,8.69E+11,8.86E+11,9.21E+11,9.49E+11,9.82E+11,1.03E+12,1.08E+12,1.14E+12,1.21E+12,1.29E+12,1.34E+12,1.29E+12,1.31E+12,1.35E+12,1.36E+12,1.38E+12,1.42E+12,1.48E+12,1.53E+12,1.60E+12,
Early-demographic dividend,EAR,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.12E+12,1.16E+12,1.21E+12,1.28E+12,1.38E+12,1.46E+12,1.52E+12,1.60E+12,1.71E+12,1.82E+12,1.98E+12,2.10E+12,2.24E+12,2.41E+12,2.57E+12,2.63E+12,2.82E+12,2.93E+12,2.96E+12,3.06E+12,3.11E+12,3.23E+12,3.23E+12,3.24E+12,3.30E+12,3.33E+12,3.44E+12,3.54E+12,3.67E+12,3.74E+12,3.96E+12,4.15E+12,4.32E+12,4.46E+12,4.60E+12,4.72E+12,4.99E+12,5.22E+12,5.32E+12,5.41E+12,5.65E+12,5.71E+12,5.80E+12,6.08E+12,6.48E+12,6.88E+12,7.30E+12,7.73E+12,8.00E+12,8.05E+12,8.55E+12,8.97E+12,9.35E+12,9.75E+12,1.01E+13,1.06E+13,1.11E+13,1.17E+13,
East Asia & Pacific,EAS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,1.34E+12,1.41E+12,1.50E+12,1.62E+12,1.79E+12,1.91E+12,2.08E+12,2.26E+12,2.50E+12,2.79E+12,2.87E+12,3.02E+12,3.25E+12,3.50E+12,3.52E+12,3.64E+12,3.79E+12,3.98E+12,4.21E+12,4.45E+12,4.61E+12,4.82E+12,5.01E+12,5.21E+12,5.52E+12,5.82E+12,6.08E+12,6.44E+12,6.92E+12,7.27E+12,7.64E+12,7.98E+12,8.25E+12,8.51E+12,8.88E+12,9.34E+12,9.81E+12,1.02E+13,1.01E+13,1.04E+13,1.10E+13,1.12E+13,1.17E+13,1.21E+13,1.28E+13,1.34E+13,1.42E+13,1.51E+13,1.56E+13,1.58E+13,1.69E+13,1.77E+13,1.86E+13,1.94E+13,2.02E+13,2.11E+13,2.19E+13,2.29E+13,
East Asia & Pacific (excluding high income),EAP,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.58E+11,2.29E+11,2.29E+11,2.42E+11,2.66E+11,2.92E+11,3.14E+11,3.11E+11,3.20E+11,3.54E+11,3.99E+11,4.26E+11,4.48E+11,4.85E+11,5.06E+11,5.39E+11,5.57E+11,6.00E+11,6.55E+11,7.02E+11,7.55E+11,7.99E+11,8.47E+11,9.10E+11,9.96E+11,1.07E+12,1.14E+12,1.24E+12,1.36E+12,1.44E+12,1.52E+12,1.64E+12,1.82E+12,2.01E+12,2.23E+12,2.44E+12,2.66E+12,2.85E+12,2.90E+12,3.08E+12,3.31E+12,3.53E+12,3.81E+12,4.14E+12,4.51E+12,4.95E+12,5.48E+12,6.15E+12,6.67E+12,7.18E+12,7.88E+12,8.55E+12,9.19E+12,9.85E+12,1.05E+13,1.12E+13,1.19E+13,1.27E+13,
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.58E+11,2.29E+11,2.28E+11,2.42E+11,2.65E+11,2.92E+11,3.14E+11,3.11E+11,3.19E+11,3.53E+11,3.98E+11,4.25E+11,4.47E+11,4.84E+11,5.05E+11,5.38E+11,5.56E+11,5.99E+11,6.54E+11,7.00E+11,7.54E+11,7.98E+11,8.46E+11,9.08E+11,9.94E+11,1.07E+12,1.14E+12,1.24E+12,1.36E+12,1.44E+12,1.52E+12,1.64E+12,1.81E+12,2.01E+12,2.22E+12,2.44E+12,2.66E+12,2.84E+12,2.89E+12,3.07E+12,3.30E+12,3.52E+12,3.80E+12,4.13E+12,4.50E+12,4.94E+12,5.47E+12,6.14E+12,6.65E+12,7.17E+12,7.87E+12,8.53E+12,9.17E+12,9.83E+12,1.05E+13,1.12E+13,1.19E+13,1.27E+13,
Euro area,EMU,GDP (constant 2010 US$),NY.GDP.MKTP.KD,2.87E+12,3.06E+12,3.26E+12,3.44E+12,3.63E+12,3.81E+12,4.01E+12,4.22E+12,4.46E+12,4.77E+12,5.03E+12,5.23E+12,5.48E+12,5.82E+12,6.01E+12,5.96E+12,6.26E+12,6.46E+12,6.66E+12,6.91E+12,7.06E+12,7.10E+12,7.15E+12,7.25E+12,7.42E+12,7.59E+12,7.78E+12,7.98E+12,8.33E+12,8.67E+12,8.98E+12,9.22E+12,9.35E+12,9.28E+12,9.51E+12,9.75E+12,9.92E+12,1.02E+13,1.05E+13,1.08E+13,1.12E+13,1.15E+13,1.16E+13,1.17E+13,1.19E+13,1.21E+13,1.25E+13,1.29E+13,1.30E+13,1.24E+13,1.27E+13,1.29E+13,1.27E+13,1.27E+13,1.29E+13,1.32E+13,1.34E+13,1.37E+13,
Europe & Central Asia,ECS,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,8.45E+12,8.77E+12,9.19E+12,9.74E+12,9.97E+12,9.92E+12,1.04E+13,1.07E+13,1.10E+13,1.14E+13,1.16E+13,1.17E+13,1.18E+13,1.20E+13,1.23E+13,1.27E+13,1.30E+13,1.34E+13,1.40E+13,1.45E+13,1.48E+13,1.49E+13,1.48E+13,1.47E+13,1.48E+13,1.51E+13,1.54E+13,1.59E+13,1.63E+13,1.67E+13,1.74E+13,1.78E+13,1.81E+13,1.85E+13,1.91E+13,1.96E+13,2.04E+13,2.11E+13,2.13E+13,2.04E+13,2.09E+13,2.15E+13,2.15E+13,2.17E+13,2.21E+13,2.26E+13,2.30E+13,2.36E+13,
Europe & Central Asia (excluding high income),ECA,GDP (constant 2010 US$),NY.GDP.MKTP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.47E+12,2.43E+12,2.30E+12,2.06E+12,1.95E+12,1.75E+12,1.72E+12,1.73E+12,1.77E+12,1.74E+12,1.78E+12,1.92E+12,1.97E+12,2.08E+12,2.22E+12,2.41E+12,2.58E+12,2.79E+12,3.00E+12,3.13E+12,2.94E+12,3.10E+12,3.30E+12,3.42E+12,3.56E+12,3.64E+12,3.66E+12,3.71E+12,3.86E+12,
