Country Name_population,Country Code,2011_population,2012_population,2013_population,2014_population,2015_population,2016_population,2017_population,Indicator Name_pm25,2011_pm25,2012_pm25,2013_pm25,2014_pm25,2015_pm25,2016_pm25,2017_pm25
China,CHN,1344130000.0,1350695000.0,1357380000.0,1364270000.0,1371220000.0,1378665000.0,1386395000.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",70.54202883,63.82701684,65.51455022,59.76736751,59.06342246,52.21132204,52.66459583
India,IND,1247236029.0,1263065852.0,1278562207.0,1293859294.0,1309053980.0,1324171354.0,1339180127.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",97.59937863,88.1694406,91.80479161,89.62238269,89.3033343,89.67217693,90.87321047
United States,USA,311580009.0,313874218.0,316057727.0,318386421.0,320742673.0,323071342.0,325147121.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",9.740640607000001,9.00316337,8.734777211,8.220720319,8.063920222,7.406464089,7.409441662000001
Indonesia,IDN,245707511.0,248883232.0,252032263.0,255131116.0,258162113.0,261115456.0,263991379.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",18.04965117,18.17016951,16.87918132,16.45463183,16.64028042,16.38415363,16.5026533
Brazil,BRA,198686688.0,200560983.0,202408632.0,204213133.0,205962108.0,207652865.0,209288278.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",15.91279799,15.28545576,14.60990092,13.98993477,13.59465562,12.65867601,12.70662947
Pakistan,PAK,174184265.0,177911533.0,181712595.0,185546257.0,189380513.0,193203476.0,197015955.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",68.54493561,62.37664629,61.02216287,59.51836271,60.08589291,58.63276393,58.28241877
Nigeria,NGA,162877076.0,167297284.0,171829303.0,176460502.0,181181744.0,185989640.0,190886311.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",50.97308923,56.1296377,49.74068894,48.63337361,75.39899187,71.369601,71.79817438
Bangladesh,BGD,153911916.0,155727053.0,157571292.0,159405279.0,161200886.0,162951560.0,164669751.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",70.2105489,70.79390882,65.64508289,68.39537740000002,66.96574924,60.12627467,60.84578458
Russian Federation,RUS,142960868.0,143201676.0,143506911.0,143819666.0,144096870.0,144342396.0,144496740.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",19.19151083,18.30433841,17.79507055,16.58216295,17.019191199999998,16.21988971,16.16022381
Mexico,MEX,119090017.0,120828307.0,122535969.0,124221600.0,125890949.0,127540423.0,129163276.0,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",27.74129679,25.98165883,25.44908967,23.09968975,22.13299585,20.70682854,20.92111579
